steps,rewards,critic_loss,policy_ppo_loss,policy_ddpg_loss,kl,entropy,value_func_loss,beta
50.0,-49.8,7.996039e-05,-0.012446576,0.00050103123,0.0015290835,3.6913967,0.0083280037046971,1.0
50.0,-47.9,3.8147613e-05,-0.010711529,0.00045035957,0.0017160008,3.6832159,0.004465601197618544,1.0
50.0,-49.95,5.655683e-05,-0.014397082,0.0009779198,0.0025070244,3.6975663,0.004150873438530768,1.0
50.0,-49.3,7.715183e-05,-0.010723919,0.0015479336,0.0014324007,3.7064075,0.0039917108612224,0.6666666666666666
50.0,-49.4,7.502082e-05,-0.01483146,0.00070404017,0.0017046907,3.7348442,0.0040084786424740846,0.6666666666666666
50.0,-49.65,6.681615e-05,-0.012582015,0.00063242257,0.0020501951,3.743544,0.004014418747530096,0.6666666666666666
50.0,-49.6,9.545176e-05,-0.010290273,0.0017000564,0.0012622109,3.751791,0.004019102231419723,0.4444444444444444
50.0,-49.95,7.956902e-05,-0.011345262,0.0012356202,0.0021563673,3.7517087,0.004058140384838616,0.4444444444444444
50.0,-49.85,7.540241e-05,-0.0126729375,0.00067795685,0.002840791,3.7429457,0.004043430020820072,0.4444444444444444
50.0,-49.85,7.6778495e-05,-0.01199299,0.0015862345,0.0015991619,3.7464678,0.004045426698467313,0.4444444444444444
50.0,-49.6,7.8482386e-05,-0.016757712,0.0010243892,0.0037037556,3.7501185,0.004046095973908482,0.4444444444444444
50.0,-49.9,7.5296266e-05,-0.016092632,0.0010723374,0.00533338,3.7451897,0.004058380989683037,0.4444444444444444
50.0,-49.5,7.783292e-05,-0.018611128,0.0012768264,0.0054247035,3.7249877,0.003984711196648002,0.4444444444444444
50.0,-49.6,8.067693e-05,-0.016810194,0.0028632374,0.0035643463,3.7114692,0.004017058459398987,0.4444444444444444
50.0,-49.2,8.9513815e-05,-0.016381893,0.0006272418,0.0047754976,3.7101412,0.003960357986783511,0.4444444444444444
50.0,-49.0,9.7120195e-05,-0.022954786,0.0018385653,0.011376905,3.7117765,0.0039400166457572265,0.6666666666666666
50.0,-48.85,9.033324e-05,-0.02124927,0.0002858773,0.0060019675,3.7264676,0.00407316882305108,1.0
50.0,-49.55,9.031355e-05,-0.013510302,0.00071634573,0.0031394847,3.7287688,0.004028774179376163,1.0
50.0,-49.75,8.396031e-05,-0.014418885,0.0008506106,0.0022128874,3.7140675,0.004044306373932869,1.0
50.0,-49.9,8.319032e-05,-0.02066123,0.0009465166,0.008467022,3.7092323,0.004053694634330242,1.5
50.0,-49.75,8.22627e-05,-0.012210321,0.0005257975,0.001935012,3.7064276,0.00404057011979298,1.5
50.0,-49.25,7.308131e-05,-0.0112085445,0.00010314494,0.0010763782,3.708757,0.0039950811490947705,1.0
50.0,-49.7,7.0179136e-05,-0.01716463,-8.210829e-05,0.0066069,3.7167964,0.004022929888058189,1.5
50.0,-49.55,6.390183e-05,-0.012015125,-0.00015806228,0.00284657,3.7186556,0.004026629767684902,1.5
50.0,-49.6,6.168899e-05,-0.008599006,8.0512495e-05,0.00092661596,3.7144141,0.004038197605495846,1.0
50.0,-48.4,6.050996e-05,-0.018183319,0.00041841512,0.0033551757,3.70396,0.003917453741680424,1.0
50.0,-49.65,5.770036e-05,-0.015087012,-7.7989454e-05,0.0053678732,3.6992934,0.004045894879052278,1.0
50.0,-49.45,5.1317245e-05,-0.010062473,0.0002664407,0.0028590458,3.709423,0.004017267348624646,1.0
50.0,-49.65,5.210919e-05,-0.017531414,0.00016271969,0.00566302,3.7045753,0.0040458837992609,1.0
50.0,-49.9,5.268982e-05,-0.016576596,0.00091323466,0.006195345,3.6877542,0.00406289041852385,1.5
50.0,-49.95,4.9424656e-05,-0.013019664,0.00039895266,0.0015674388,3.6906333,0.004064523316144752,1.5
50.0,-49.75,5.1732666e-05,-0.014974961,0.00021048624,0.004325749,3.6868753,0.004047364123917442,1.5
50.0,-49.5,4.822714e-05,-0.018442668,0.00054545875,0.0056849387,3.7012413,0.004015120752416258,1.5
50.0,-49.85,4.9761893e-05,-0.011982146,0.0005041208,0.0028672211,3.6906755,0.004044651882920443,1.5
50.0,-49.6,4.771603e-05,-0.014726282,0.0002943032,0.0033241156,3.6781318,0.00401210317296924,1.5
50.0,-49.4,4.851287e-05,-0.0117687015,0.0003208665,0.0024549768,3.6828241,0.003942541004540242,1.5
50.0,-49.6,5.261158e-05,-0.01788008,0.00033884196,0.0047350554,3.698965,0.00403200901429288,1.5
50.0,-49.5,4.655085e-05,-0.016488062,0.00030632425,0.0052708695,3.706967,0.004019892520073989,1.5
50.0,-49.9,4.396211e-05,-0.011173446,6.592022e-05,0.0029364855,3.6816974,0.004066573448844622,1.5
50.0,-49.25,4.7277128e-05,-0.015729973,0.00039865467,0.0039400323,3.6832268,0.0039678969307940576,1.5
50.0,-49.65,4.847102e-05,-0.014381893,0.00022746889,0.002427453,3.6853561,0.0040278852237027535,1.5
50.0,-49.5,4.7062822e-05,-0.014511813,0.0001763269,0.005741663,3.6740375,0.004013051625918687,1.5
50.0,-49.35,4.266436e-05,-0.012012672,0.00014621472,0.0026024468,3.6565578,0.003973485811358046,1.5
50.0,-49.55,4.4372366e-05,-0.018729847,5.402444e-06,0.0053369445,3.644075,0.004025526112049936,1.5
50.0,-48.9,4.2398355e-05,-0.011916632,-0.00095767464,0.00293098,3.6432972,0.003922324167857364,1.5
50.0,-49.65,3.927561e-05,-0.013824403,-0.00058345567,0.0039008858,3.6398163,0.004021847396457884,1.5
50.0,-49.9,4.0555075e-05,-0.012678266,-0.00051067554,0.0026292603,3.6278,0.004055222509132277,1.5
50.0,-49.5,3.7313937e-05,-0.014950466,0.00028348112,0.0047391485,3.632223,0.004027822567615569,1.5
50.0,-49.95,3.810481e-05,-0.014848055,0.0003976834,0.004322243,3.6220632,0.004068224969158594,1.5
50.0,-49.5,3.547926e-05,-0.016203854,-0.0004349612,0.0080200555,3.6262977,0.0040387717083893195,2.25
50.0,-49.9,3.694208e-05,-0.009339888,-0.00072225166,0.0015799315,3.6244102,0.004064785476886922,2.25
50.0,-50.0,3.846669e-05,-0.009244932,-0.00076520874,0.0011838267,3.6164892,0.004070169812150643,1.5
50.0,-49.65,3.465804e-05,-0.015351179,-0.00063410023,0.0050268676,3.6082084,0.004037672043248789,1.5
50.0,-49.3,3.4635636e-05,-0.014150262,-0.0008562198,0.003830736,3.6071367,0.004024576107742019,1.5
50.0,-49.6,3.4341603e-05,-0.011553835,-0.00074487744,0.003433457,3.606529,0.004018548596222885,1.5
50.0,-49.9,3.0500658e-05,-0.014124977,-0.00073673826,0.005343933,3.601411,0.004061001660457693,1.5
50.0,-49.15,3.2713055e-05,-0.014342513,7.169432e-05,0.0030998492,3.5912004,0.0039651253653245275,1.5
50.0,-49.45,3.51516e-05,-0.018543532,-0.0008688909,0.0061586536,3.5986023,0.0040311714928801,2.25
50.0,-49.3,2.7674698e-05,-0.01796455,-1.2338329e-05,0.0046420516,3.606574,0.003954314709556197,2.25
50.0,-49.7,2.7226873e-05,-0.010420026,-0.00066813093,0.00252819,3.6012592,0.004043999709460832,2.25
50.0,-49.85,2.6776852e-05,-0.0140153915,-0.0009504596,0.0024024404,3.580421,0.004040612155044578,2.25
50.0,-49.65,2.7734968e-05,-0.012378378,-0.0005566091,0.0034896424,3.5634174,0.004052742532757166,2.25
