beta,entropy,policy_loss,rewards,value_func_loss,critic_loss,steps,kl
1.0,2.7500007,-0.024926294,17.86462091325512,0.0005982071939444379,0.0002333613,23.1,0.0028449039
1.0,2.7448041,-0.025590109,15.664084521093917,0.001153286304275369,6.3737054e-05,21.2,0.0035682279
1.0,2.730592,-0.02492666,37.22945899870181,0.037034245603553485,0.00011940988,29.3,0.0050185346
1.0,2.718221,-0.024662877,28.476484606728157,0.012599495706357678,9.391071e-05,27.55,0.004865203
1.0,2.710706,-0.015017813,54.702531168053554,0.019127146069146513,0.00016657557,42.15,0.0026431396
1.0,2.710478,-0.016268335,58.716114495958436,0.01588710073932763,0.00014799576,43.0,0.0031437841
1.0,2.710649,-0.016488448,78.6754488476144,0.024847132311612424,0.00015133737,54.4,0.002723296
1.0,2.7160084,-0.01920361,83.70826421999112,0.031252357236187904,0.00014618036,57.75,0.004160048
1.0,2.7183735,-0.015744455,95.0343018806087,0.025411378740958807,0.00014183293,58.15,0.0040341583
1.0,2.7073536,-0.014907177,133.35627775538137,0.02097161242451521,0.00013196602,81.1,0.003524542
1.5,2.7129946,-0.017859686,126.67975839333107,0.020701858856379252,0.00012602877,73.5,0.0068406593
1.5,2.7240186,-0.012769255,162.70907294122492,0.02195841492202439,0.00012856536,91.8,0.002394578
1.5,2.7224693,-0.0073407893,158.27579241662934,0.027171700945026595,0.00012403342,91.4,0.0020864545
1.5,2.7220144,-0.007466001,174.25138849021818,0.01721486330164757,0.00012455831,103.75,0.0020704186
1.5,2.7236476,-0.008002265,186.90807562948544,0.018819361128812967,0.00012937716,107.4,0.0023533844
1.5,2.7202067,-0.007350605,199.7285191948901,0.007478903298561193,0.00012996867,111.35,0.0029335204
1.5,2.716249,-0.0035955233,198.32696884477576,0.007453856488945704,0.00013879991,116.0,0.0024775642
1.5,2.712041,-0.0051587443,205.81286417957418,0.005401219707619829,0.00013387378,114.15,0.0023211108
1.5,2.7127678,-0.004301301,208.8680711109872,0.00943241203902334,0.00013692612,122.6,0.002760731
1.5,2.7058244,-0.0054011056,212.52145496253902,0.003099608421379336,0.00014095812,121.15,0.0028282478
1.5,2.69841,-0.005198811,214.34491287218253,0.005274477296137903,0.00014782898,122.0,0.002906374
1.5,2.6971936,-0.0058429167,222.6963334286409,0.0015176733677521956,0.00014754347,126.85,0.004985194
1.5,2.6971903,-0.0013051182,219.9931017530982,0.01420597007038099,0.000143986,127.85,0.002287621
1.5,2.691033,-0.004200347,215.9747180091043,0.006015045312328844,0.00015186526,121.65,0.0024673506
1.5,2.6831374,-0.0051401113,232.70095131915883,0.0032936402619963057,0.00015088434,129.0,0.003394519
1.5,2.6800947,-0.006268867,232.01834977858078,0.001784757539128025,0.00015105506,125.9,0.0055255927
1.5,2.6875625,-0.0020502382,246.31999581307227,0.007349243564218947,0.00015421365,137.85,0.0030455387
1.5,2.6927793,-0.007683301,264.0743813605387,0.013829711341334263,0.00015762905,143.95,0.0048427177
1.5,2.6873517,-0.00808412,287.590275837115,0.005568374269883307,0.0001610284,153.15,0.004918814
1.5,2.6802416,-0.0045283395,304.56126253680384,0.006820987490907992,0.00016153362,158.55,0.0034714136
1.5,2.6784635,-0.0019569297,342.29219236223906,0.00954464815528424,0.00016358706,198.7,0.0022205894
1.5,2.666936,-0.001752534,322.3748419333974,0.0038620593073190454,0.00016721671,169.55,0.0021719034
1.5,2.6572723,-0.0050820094,326.8314722710662,0.0014406979706934316,0.00017246223,166.25,0.0042829174
1.5,2.6562312,3.8698316e-05,368.04761729332915,0.0033173265286722277,0.00017692597,206.35,0.0024105017
1.5,2.6540084,-0.0037558097,339.340437706545,0.0016254531195628642,0.00017468004,169.15,0.0035959114
1.5,2.6403055,-0.0033964887,340.47412239061975,0.002194742160855318,0.00017678639,174.4,0.0025747714
1.5,2.6328824,-0.0043397523,366.1915854165361,0.0032153538392152873,0.0001788699,187.95,0.0034634515
1.5,2.627109,-0.0036365474,383.13742418280833,0.004400328946352865,0.0001752569,215.05,0.0031596355
1.5,2.6200342,-0.0023975135,368.22631655670364,0.016533766027194242,0.00017901952,186.85,0.0017281644
