beta,value_func_loss,entropy,critic_loss,steps,policy_ddpg_loss,rewards,kl,policy_ppo_loss
1.0,0.004225846766857191,2.7687302,0.00034821604,22.1,0.00050885946,19.64958335828697,0.0057991426,-0.021934561
1.0,0.004224633496417558,2.775114,0.00018630456,21.55,-0.00013032972,19.31470712029368,0.0046280394,-0.017822998
1.0,0.006864118999326625,2.755976,0.00016654485,27.55,-0.0007470588,29.65062582274818,0.0059462204,-0.029212253
1.5,0.03531630551118225,2.7374558,0.00033791419,36.55,-0.0004888752,52.12909651600633,0.007394257,-0.02469437
1.5,0.014764080676752776,2.7291842,0.0002269938,33.8,-0.0005284207,45.9268562532049,0.0044663493,-0.016768664
1.5,0.020741383194652272,2.7323399,0.00022627428,35.7,-0.0010345825,49.34969687243277,0.004451647,-0.018528894
1.5,0.010738471264633032,2.7260137,0.00020485598,44.6,0.0004955843,63.20914071639635,0.003628727,-0.01883502
1.5,0.014797609330169256,2.709859,0.00018979702,47.65,0.00014387742,72.37643918743474,0.0017172262,-0.0149610955
1.5,0.016786772901633145,2.6977587,0.00018159878,53.05,-0.000769228,77.89687404877182,0.004345902,-0.015139374
1.5,0.03066884773823904,2.699699,0.0001778109,48.9,0.00026945374,76.77609866247704,0.0027357563,-0.016584136
1.5,0.020979519427447628,2.6946816,0.00016971979,59.45,0.0014584706,103.06890133736593,0.0059708473,-0.018974394
1.5,0.024562782017709096,2.691985,0.0001663108,68.4,-0.0001084083,120.75204352810651,0.003352639,-0.01569279
1.5,0.023261270778342873,2.6906083,0.00018112265,76.45,0.00067038566,140.21860332843394,0.0036943434,-0.01074863
1.5,0.019149685633478845,2.6971827,0.00018341023,87.2,0.00014880125,154.78361340226547,0.0048065973,-0.013087942
1.5,0.021279377691655717,2.6911561,0.00017148409,82.7,0.00015030985,143.48408794966375,0.0030221008,-0.011231929
1.5,0.01746346823896027,2.6794221,0.00017392532,111.9,0.00044013487,193.6017480028865,0.0052255304,-0.014046231
1.5,0.006087375240227988,2.6720505,0.00016771922,111.25,0.00020949102,212.0835699129928,0.002950959,-0.007872105
1.5,0.013867585399513832,2.672684,0.00016632925,106.3,-0.0011413825,199.5575370451862,0.0018985792,-0.0060874764
1.5,0.009749048086341035,2.662607,0.0001596442,118.95,-0.0002815667,215.02480975880727,0.0027782854,-0.008158252
1.5,0.0022254592694715422,2.656785,0.00016617372,121.35,-0.00036025155,229.59124313351612,0.0041119,-0.010420755
1.5,0.004537667329854073,2.6505418,0.00016490086,126.35,9.280553e-05,230.604479313141,0.0047734235,-0.0073943054
1.5,0.0013054368119108735,2.6470013,0.00016949771,127.5,0.00020627781,241.92888935562868,0.005210048,-0.014359217
1.5,0.001400638024972568,2.6486325,0.00017053926,158.55,-0.00086873106,270.9938739795107,0.005720671,-0.010772097
1.5,0.0015128296295883648,2.653937,0.00017908371,209.8,0.00047671114,328.47747498954385,0.005139175,-0.009913409
2.25,0.012313646856672456,2.6588216,0.00017978587,177.55,0.00054530957,268.2104593623765,0.006971763,-0.011887625
2.25,0.011328584679914433,2.6566904,0.00019376709,200.95,0.00059239095,317.72115629123437,0.0028632088,-0.00797576
2.25,0.00685200969901462,2.648273,0.00019628787,179.45,9.346831e-05,298.9907053006861,0.0019221735,-0.0076548783
1.5,0.0010814042507199426,2.6461046,0.00019927362,191.15,-1.8656721e-05,315.3067140070824,0.0014250623,-0.005778199
1.5,0.0010912009074836946,2.6463094,0.0001938665,224.6,0.00058506127,347.6230215696339,0.004402794,-0.009359539
1.5,0.004824940764574931,2.6426995,0.00018705819,266.65,0.0010711254,382.36957935534804,0.0037224465,-0.00731219
1.5,0.013977487462598437,2.6401455,0.00018356866,305.35,0.0020945824,382.4398986472658,0.0050184308,-0.0054690647
1.5,0.0035780475511049312,2.6442928,0.00018096852,293.45,0.0012884963,418.7685184975101,0.002189496,-0.006803885
1.5,0.0016614335414383938,2.644519,0.0001821154,252.15,0.0017720099,377.2798959672417,0.0038523742,-0.00782228
1.5,0.004008261798504943,2.6356223,0.00017668471,396.05,0.0021196415,475.0569199114764,0.00424265,-0.004713841
1.5,0.0036642942590838275,2.6249213,0.00017020582,350.55,0.0023083228,466.8103235803236,0.0026684885,-0.0058770836
1.5,0.002835447100072116,2.6216145,0.00016947767,459.65,0.002367814,558.485181391761,0.0031453655,-0.0056672264
1.5,0.008099568667445598,2.617485,0.00016914181,413.55,0.00231327,529.5164146869515,0.001959934,-0.0031159217
1.5,0.0020074561967547244,2.611969,0.00016707623,483.8,0.0026867883,599.8488030422853,0.002695403,-0.004888112
1.5,0.004907453275724383,2.606636,0.00016216171,824.3,0.0025212665,848.8073412729576,0.003495407,-0.0044702906
1.5,0.00867071827358449,2.6004379,0.00016359331,899.15,0.0031638604,903.1996056728871,0.00555072,-0.0074348543
1.5,0.006393263349283741,2.5958257,0.00016729192,952.95,0.0030830854,957.0158128514079,0.0044423095,-0.0051449193
1.5,0.0009488447616067159,2.5990276,0.00017000054,983.15,0.0038104525,998.8631965683966,0.004296681,-0.0064512314
2.25,0.0006245376794126997,2.6003027,0.00017460488,968.95,0.0029378945,997.7142534396592,0.014152427,-0.0017641643
1.5,0.004128940693900576,2.60035,0.00018044446,776.35,0.0029156406,879.7586662154256,0.0007545189,-0.0016160418
1.0,0.005222559828484582,2.5982115,0.00017945668,769.6,0.0028754747,884.0390197466862,0.0010893631,-0.0030982797
0.6666666666666666,0.001658801880560941,2.608028,0.00017673861,767.75,0.0027124463,879.0409186725716,0.0013280072,-0.0018423408
0.6666666666666666,0.004545296090334383,2.6082008,0.00017232948,829.85,0.0025327331,941.6805153953867,0.0027536547,-0.003458479
0.6666666666666666,0.0012005469398665201,2.608472,0.00017272547,833.95,0.0024933289,951.6755015619532,0.0037251764,-0.0036269312
1.0,0.0008812493911805585,2.6106591,0.00017222746,763.65,0.0031487986,889.7285925513883,0.0060104444,-0.005850956
1.0,0.0013833709722338894,2.613223,0.00017179469,875.9,0.0020895181,987.8618096732537,0.0031678376,-0.004554324
